,,age_group,sport,comp_name,
0,Boys Division 1 Group C,Boys,Football,Boys Division 1 Grp C,"""Boys Division 1 Group C"": {""age_group"":""Boys"",""sport"":""Football"",""comp_name"":""Boys Division 1 Grp C""}"
0,Canon Henry Group 3,Senior,Football,Canon Henry Grp 3,"""Canon Henry Group 3"": {""age_group"":""Senior"",""sport"":""Football"",""comp_name"":""Canon Henry Grp 3""}"
0,Centenary Cup Group 1,Senior,Football,Centenary Cup Grp 1,"""Centenary Cup Group 1"": {""age_group"":""Senior"",""sport"":""Football"",""comp_name"":""Centenary Cup Grp 1""}"
0,Chillout Firewood U16 League Group A,Under 16s,Football,Chillout Firewood U16 League Grp A,"""Chillout Firewood U16 League Group A"": {""age_group"":""Under 16s"",""sport"":""Football"",""comp_name"":""Chillout Firewood U16 League Grp A""}"
0,Dermot Molloy Hurling League Group 2,Senior,Football,Dermot Molloy Hurling League Grp 2,"""Dermot Molloy Hurling League Group 2"": {""age_group"":""Senior"",""sport"":""Football"",""comp_name"":""Dermot Molloy Hurling League Grp 2""}"
0,Eurona Brisknet Under 14 Hurling League - Group B,Under 14s,Hurling,Eurona Brisknet Hurling League - Grp B,"""Eurona Brisknet Under 14 Hurling League - Group B"": {""age_group"":""Under 14s"",""sport"":""Hurling"",""comp_name"":""Eurona Brisknet Hurling League - Grp B""}"
0,John West Feile na nGael Boys Div 3 Group A,Boys,Hurling,John West Feile na nGael Boys Div 3 Grp A,"""John West Feile na nGael Boys Div 3 Group A"": {""age_group"":""Boys"",""sport"":""Hurling"",""comp_name"":""John West Feile na nGael Boys Div 3 Grp A""}"
0,John West Feile na nGael Boys Div 9 Group A,Boys,Hurling,John West Feile na nGael Boys Div 9 Grp A,"""John West Feile na nGael Boys Div 9 Group A"": {""age_group"":""Boys"",""sport"":""Hurling"",""comp_name"":""John West Feile na nGael Boys Div 9 Grp A""}"
0,John West Feile na nGael Camogie Div 6 Group A,Girls,Camoige,John West Feile na nGael Camogie Div 6 Grp A,"""John West Feile na nGael Camogie Div 6 Group A"": {""age_group"":""Girls"",""sport"":""Camoige"",""comp_name"":""John West Feile na nGael Camogie Div 6 Grp A""}"
0,Kelly Cup Group 2,Senior,Football,Kelly Cup Grp 2,"""Kelly Cup Group 2"": {""age_group"":""Senior"",""sport"":""Football"",""comp_name"":""Kelly Cup Grp 2""}"
0,Kelly Cup Group 3,Senior,Football,Kelly Cup Grp 3,"""Kelly Cup Group 3"": {""age_group"":""Senior"",""sport"":""Football"",""comp_name"":""Kelly Cup Grp 3""}"
0,Mayo GAA Go Games u12 Hurling,Under 12s,Hurling,Mayo GAA Go Games u12 Hurling,"""Mayo GAA Go Games u12 Hurling"": {""age_group"":""Under 12s"",""sport"":""Hurling"",""comp_name"":""Mayo GAA Go Games u12 Hurling""}"
0,Mayo GAA SHC 2017,Senior,Hurling,Mayo GAA SHC 2017,"""Mayo GAA SHC 2017"": {""age_group"":""Senior"",""sport"":""Hurling"",""comp_name"":""Mayo GAA SHC 2017""}"
0,Mayo GAA U8/u10s hurling,Under 8/10s,Hurling,Mayo GAA U8/u10s hurling,"""Mayo GAA U8/u10s hurling"": {""age_group"":""Under 8/10s"",""sport"":""Hurling"",""comp_name"":""Mayo GAA U8/u10s hurling""}"
0,Mayo Intermediate Championship - Group 1,Intermediate,Football,Mayo Inter. Championship - Grp 1,"""Mayo Intermediate Championship - Group 1"": {""age_group"":""Intermediate"",""sport"":""Football"",""comp_name"":""Mayo Inter. Championship - Grp 1""}"
0,Mayo Intermediate Championship - Group 2,Intermediate,Football,Mayo Inter. Championship - Grp 2,"""Mayo Intermediate Championship - Group 2"": {""age_group"":""Intermediate"",""sport"":""Football"",""comp_name"":""Mayo Inter. Championship - Grp 2""}"
0,Mayo Intermediate Championship - Group 3,Intermediate,Football,Mayo Inter. Championship - Grp 3,"""Mayo Intermediate Championship - Group 3"": {""age_group"":""Intermediate"",""sport"":""Football"",""comp_name"":""Mayo Inter. Championship - Grp 3""}"
0,Mayo Intermediate Championship - Group 4,Intermediate,Football,Mayo Inter. Championship - Grp 4,"""Mayo Intermediate Championship - Group 4"": {""age_group"":""Intermediate"",""sport"":""Football"",""comp_name"":""Mayo Inter. Championship - Grp 4""}"
0,Mayo Junior A Championship  - Group 4,Junior,Football,Mayo Jnr. A Championship  - Grp 4,"""Mayo Junior A Championship  - Group 4"": {""age_group"":""Junior"",""sport"":""Football"",""comp_name"":""Mayo Jnr. A Championship  - Grp 4""}"
0,Mayo Junior A Championship - Group 1,Junior,Football,Mayo Jnr. A Championship - Grp 1,"""Mayo Junior A Championship - Group 1"": {""age_group"":""Junior"",""sport"":""Football"",""comp_name"":""Mayo Jnr. A Championship - Grp 1""}"
0,Mayo Junior A Championship - Group 2,Junior,Football,Mayo Jnr. A Championship - Grp 2,"""Mayo Junior A Championship - Group 2"": {""age_group"":""Junior"",""sport"":""Football"",""comp_name"":""Mayo Jnr. A Championship - Grp 2""}"
0,Mayo Junior A Championship - Group 3,Junior,Football,Mayo Jnr. A Championship - Grp 3,"""Mayo Junior A Championship - Group 3"": {""age_group"":""Junior"",""sport"":""Football"",""comp_name"":""Mayo Jnr. A Championship - Grp 3""}"
0,Mayo Junior B Championship - Group 1,Junior,Football,Mayo Jnr. B Championship - Grp 1,"""Mayo Junior B Championship - Group 1"": {""age_group"":""Junior"",""sport"":""Football"",""comp_name"":""Mayo Jnr. B Championship - Grp 1""}"
0,Mayo Junior B Championship - Group 2,Junior,Football,Mayo Jnr. B Championship - Grp 2,"""Mayo Junior B Championship - Group 2"": {""age_group"":""Junior"",""sport"":""Football"",""comp_name"":""Mayo Jnr. B Championship - Grp 2""}"
0,Mayo Junior B Championship - Group 3,Junior,Football,Mayo Jnr. B Championship - Grp 3,"""Mayo Junior B Championship - Group 3"": {""age_group"":""Junior"",""sport"":""Football"",""comp_name"":""Mayo Jnr. B Championship - Grp 3""}"
0,Mayo Junior B Championship - Group 4,Junior,Football,Mayo Jnr. B Championship - Grp 4,"""Mayo Junior B Championship - Group 4"": {""age_group"":""Junior"",""sport"":""Football"",""comp_name"":""Mayo Jnr. B Championship - Grp 4""}"
0,Mayo Junior C Championship - Group 1,Junior,Football,Mayo Jnr. C Championship - Grp 1,"""Mayo Junior C Championship - Group 1"": {""age_group"":""Junior"",""sport"":""Football"",""comp_name"":""Mayo Jnr. C Championship - Grp 1""}"
0,Mayo Junior C Championship - Group 2,Junior,Football,Mayo Jnr. C Championship - Grp 2,"""Mayo Junior C Championship - Group 2"": {""age_group"":""Junior"",""sport"":""Football"",""comp_name"":""Mayo Jnr. C Championship - Grp 2""}"
0,Mayo Junior C Championship - Group 3,Junior,Football,Mayo Jnr. C Championship - Grp 3,"""Mayo Junior C Championship - Group 3"": {""age_group"":""Junior"",""sport"":""Football"",""comp_name"":""Mayo Jnr. C Championship - Grp 3""}"
0,Mayo Junior C Championship - Group 4,Junior,Football,Mayo Jnr. C Championship - Grp 4,"""Mayo Junior C Championship - Group 4"": {""age_group"":""Junior"",""sport"":""Football"",""comp_name"":""Mayo Jnr. C Championship - Grp 4""}"
0,Mayo Senior Championship - Group 1,Senior,Football,Mayo Snr. Championship - Grp 1,"""Mayo Senior Championship - Group 1"": {""age_group"":""Senior"",""sport"":""Football"",""comp_name"":""Mayo Snr. Championship - Grp 1""}"
